timestamp,farm_name,hour,day_of_year,irradiance_wm2,ambient_temp_c,panel_temp_c,theoretical_power_kw,power_production_kw,efficiency_percent,inverter_1_status,inverter_2_status,inverter_3_status,inverter_4_status,daily_revenue_eur,anomaly_type,anomaly_severity
2025-06-01 00:00:00,provence,0,152,0.0,20.5,20.5,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 01:00:00,provence,1,152,0.0,22.8,22.8,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 02:00:00,provence,2,152,0.0,21.9,21.9,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 03:00:00,provence,3,152,0.0,21.4,21.4,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 04:00:00,provence,4,152,0.0,19.6,19.6,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 05:00:00,provence,5,152,0.0,19.6,19.6,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 06:00:00,provence,6,152,0.0,25.5,25.5,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 07:00:00,provence,7,152,238.9,26.3,32.3,395.7,395.7,100.0,1,1,1,1,71.23,NORMAL,none
2025-06-01 08:00:00,provence,8,152,428.8,28.9,39.6,691.69,691.69,100.0,1,1,1,1,195.73,NORMAL,none
2025-06-01 09:00:00,provence,9,152,628.4,27.2,42.9,1001.18,1001.18,100.0,1,1,1,1,375.94,NORMAL,none
2025-06-01 10:00:00,provence,10,152,789.7,30.1,49.8,1225.76,1225.76,100.0,1,1,1,1,596.58,NORMAL,none
2025-06-01 11:00:00,provence,11,152,895.6,31.9,54.3,1366.21,1366.21,100.0,1,1,1,1,842.5,NORMAL,none
2025-06-01 12:00:00,provence,12,152,951.0,32.5,56.2,1439.92,1439.92,100.0,1,1,1,1,1101.68,NORMAL,none
2025-06-01 13:00:00,provence,13,152,1014.6,33.3,58.7,1521.62,1521.62,100.0,1,1,1,1,1375.58,NORMAL,none
2025-06-01 14:00:00,provence,14,152,932.2,34.2,57.5,1404.56,1404.56,100.0,1,1,1,1,1628.4,NORMAL,none
2025-06-01 15:00:00,provence,15,152,775.4,32.3,51.6,1195.23,1195.23,100.0,1,1,1,1,1843.54,NORMAL,none
2025-06-01 16:00:00,provence,16,152,693.3,33.2,50.6,1073.17,1073.17,100.0,1,1,1,1,2036.71,NORMAL,none
2025-06-01 17:00:00,provence,17,152,433.4,30.7,41.6,694.12,694.12,100.0,1,1,1,1,2161.65,NORMAL,none
2025-06-01 18:00:00,provence,18,152,224.0,28.0,33.6,369.31,369.31,100.0,1,1,1,1,2228.13,NORMAL,none
2025-06-01 19:00:00,provence,19,152,0.0,24.1,24.1,0.0,0.0,0.0,1,1,1,1,2228.13,NORMAL,none
2025-06-01 20:00:00,provence,20,152,0.0,22.6,22.6,0.0,0.0,0.0,1,1,1,1,2228.13,NORMAL,none
2025-06-01 21:00:00,provence,21,152,0.0,20.0,20.0,0.0,0.0,0.0,1,1,1,1,2228.13,NORMAL,none
2025-06-01 22:00:00,provence,22,152,0.0,21.7,21.7,0.0,0.0,0.0,1,1,1,1,2228.13,NORMAL,none
2025-06-01 23:00:00,provence,23,152,0.0,20.2,20.2,0.0,0.0,0.0,1,1,1,1,2228.13,NORMAL,none
2025-06-02 00:00:00,provence,0,153,0.0,21.1,21.1,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-02 01:00:00,provence,1,153,0.0,21.2,21.2,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-02 02:00:00,provence,2,153,0.0,19.7,19.7,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-02 03:00:00,provence,3,153,0.0,22.9,22.9,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-02 04:00:00,provence,4,153,0.0,22.1,22.1,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
